species,concentrate,value
Dorea,1mg,0.67025
Dorea,1mg,0.61795
Dorea,1mg,0.64265
Dorea,1mg,0.59265
Dorea,0.5mg,0.67995
Dorea,0.5mg,0.64745
Dorea,0.5mg,0.68055
Dorea,0.5mg,0.67575
Dorea,0.25mg,0.627525
Dorea,0.25mg,0.618225
Dorea,0.25mg,0.627325
Dorea,0.25mg,0.625825
Dorea,0.125mg,0.611575
Dorea,0.125mg,0.582775
Dorea,0.125mg,0.593375
Dorea,0.125mg,0.615175
Dorea,0.0625mg,0.595975
Dorea,0.0625mg,0.583275
Dorea,0.0625mg,0.588975
Dorea,0.0625mg,0.594475
Dorea,0.03125mg,0.551675
Dorea,0.03125mg,0.542275
Dorea,0.03125mg,0.549575
Dorea,0.03125mg,0.540675
Dorea,control,0.4792
Dorea,control,0.4803
Dorea,control,0.5439
Dorea,control,0.5135
Bfido,1mg,1.1999
Bfido,1mg,1.2162
Bfido,1mg,1.193
Bfido,1mg,1.2115
Bfido,0.5mg,1.054
Bfido,0.5mg,1.079
Bfido,0.5mg,1.0603
Bfido,0.5mg,1.0683
Bfido,0.25mg,0.9603
Bfido,0.25mg,0.9639
Bfido,0.25mg,0.9563
Bfido,0.25mg,0.9699
Bfido,0.125mg,0.820125
Bfido,0.125mg,0.842425
Bfido,0.125mg,0.825725
Bfido,0.125mg,0.827925
Bfido,0.0625mg,0.701825
Bfido,0.0625mg,0.706525
Bfido,0.0625mg,0.691725
Bfido,0.0625mg,0.693025
Bfido,0.03125mg,0.61857
Bfido,0.03125mg,0.64127
Bfido,0.03125mg,0.62957
Bfido,0.03125mg,0.62407
Bfido,control,0.4484
Bfido,control,0.4951
Bfido,control,0.5072
Bfido,control,0.5029
