0,0,Doera,0
0.5,0,Doera,0
1,0,Doera,0
0,-0.0025,Doera,0
0.5,-0.0025,Doera,0
1,-0.0025,Doera,0
0,-0.00509999999999999,Doera,0
0.5,-0.00509999999999999,Doera,0
1,-0.00509999999999999,Doera,0
0,0.0147,Doera,8
0.5,0.0294,Doera,8
1,0.0452,Doera,8
0,0.00769999999999998,Doera,8
0.5,0.0359,Doera,8
1,0.0542,Doera,8
0,0.0116,Doera,8
0.5,0.0337,Doera,8
1,0.0463,Doera,8
0,0.0673,Doera,12
0.5,0.1355,Doera,12
1,0.2192,Doera,12
0,0.085,Doera,12
0.5,0.2228,Doera,12
1,0.1798,Doera,12
0,0.0574,Doera,12
0.5,0.2173,Doera,12
1,0.2229,Doera,12
0,0.3778,Doera,16
0.5,0.5698,Doera,16
1,0.6322,Doera,16
0,0.3856,Doera,16
0.5,0.5766,Doera,16
1,0.657,Doera,16
0,0.4434,Doera,16
0.5,0.5616,Doera,16
1,0.6587,Doera,16
0,0.497,Doera,20
0.5,0.6026,Doera,20
1,0.6456,Doera,20
0,0.4879,Doera,20
0.5,0.5867,Doera,20
1,0.6704,Doera,20
0,0.4924,Doera,20
0.5,0.5809,Doera,20
1,0.6486,Doera,20
0,0.499,Doera,24
0.5,0.5379,Doera,24
1,0.5495,Doera,24
0,0.5237,Doera,24
0.5,0.5872,Doera,24
1,0.6045,Doera,24
0,0.5183,Doera,24
0.5,0.5521,Doera,24
1,0.5585,Doera,24
0,0,Bfido,0
0.2,0,Bfido,0
0.4,0,Bfido,0
0.6,0,Bfido,0
0.8,0,Bfido,0
1,0,Bfido,0
0,0,Bfido,0
0.2,0,Bfido,0
0.4,0,Bfido,0
0.6,0,Bfido,0
0.8,0,Bfido,0
1,0,Bfido,0
0,0,Bfido,0
0.2,0,Bfido,0
0.4,0,Bfido,0
0.6,0,Bfido,0
0.8,0,Bfido,0
1,0,Bfido,0
0,0.0453,Bfido,8
0.2,0.0424,Bfido,8
0.4,0.0337,Bfido,8
0.6,0.028,Bfido,8
0.8,0.0216,Bfido,8
1,0.0201,Bfido,8
0,0.0387,Bfido,8
0.2,0.0411,Bfido,8
0.4,0.0384,Bfido,8
0.6,0.0267,Bfido,8
0.8,0.0273,Bfido,8
1,0.0205,Bfido,8
0,0.038,Bfido,8
0.2,0.0392,Bfido,8
0.4,0.0379,Bfido,8
0.6,0.0228,Bfido,8
0.8,0.0259,Bfido,8
1,0.0259,Bfido,8
0,0.4008,Bfido,12
0.2,0.4209,Bfido,12
0.4,0.3919,Bfido,12
0.6,0.3343,Bfido,12
0.8,0.2671,Bfido,12
1,0.2723,Bfido,12
0,0.4363,Bfido,12
0.2,0.4164,Bfido,12
0.4,0.406,Bfido,12
0.6,0.3479,Bfido,12
0.8,0.3347,Bfido,12
1,0.3251,Bfido,12
0,0.3688,Bfido,12
0.2,0.3991,Bfido,12
0.4,0.4382,Bfido,12
0.6,0.385,Bfido,12
0.8,0.4108,Bfido,12
1,0.3307,Bfido,12
0,0.4776,Bfido,16
0.2,0.7004,Bfido,16
0.4,0.8006,Bfido,16
0.6,0.9253,Bfido,16
0.8,0.9486,Bfido,16
1,0.929,Bfido,16
0,0.5068,Bfido,16
0.2,0.6844,Bfido,16
0.4,0.7701,Bfido,16
0.6,0.9411,Bfido,16
0.8,0.9548,Bfido,16
1,0.9354,Bfido,16
0,0.4741,Bfido,16
0.2,0.6943,Bfido,16
0.4,0.8128,Bfido,16
0.6,0.9394,Bfido,16
0.8,0.9795,Bfido,16
1,0.9802,Bfido,16
0,0.4292,Bfido,20
0.2,0.6029,Bfido,20
0.4,0.7037,Bfido,20
0.6,0.742,Bfido,20
0.8,0.8992,Bfido,20
1,0.8542,Bfido,20
0,0.4531,Bfido,20
0.2,0.5926,Bfido,20
0.4,0.7139,Bfido,20
0.6,0.7512,Bfido,20
0.8,0.8501,Bfido,20
1,0.8463,Bfido,20
0,0.4447,Bfido,20
0.2,0.6352,Bfido,20
0.4,0.7877,Bfido,20
0.6,0.8137,Bfido,20
0.8,0.8587,Bfido,20
1,0.8667,Bfido,20
0,0.4302,Bfido,24
0.2,0.6406,Bfido,24
0.4,0.8002,Bfido,24
0.6,0.7492,Bfido,24
0.8,0.8218,Bfido,24
1,0.8013,Bfido,24
0,0.4502,Bfido,24
0.2,0.6098,Bfido,24
0.4,0.768,Bfido,24
0.6,0.764,Bfido,24
0.8,0.845,Bfido,24
1,0.8484,Bfido,24
0,0.4034,Bfido,24
0.2,0.5318,Bfido,24
0.4,0.7989,Bfido,24
0.6,0.779,Bfido,24
0.8,0.8769,Bfido,24
1,0.916,Bfido,24
