grid,metaphlan
Bifidobacterium_longum,s__Bifidobacterium_longum
Dorea_longicatena,s__Dorea_longicatena
Roseburia_inulinivorans,s__Roseburia_inulinivorans
Fusicatenibacter_saccharivorans,s__Fusicatenibacter_saccharivorans
Eubacterium_rectale_CAG:36,s__Eubacterium_rectale
Ruminococcus_torques_CAG:61,s__Ruminococcus_torques
NA,s__Hungatella_hathewayi
Coprococcus_eutactus,s__Coprococcus_eutactus
Clostridium_bolteae_CAG:59,s__Enterocloster_bolteae
Mitsuokella_multacida,s__Mitsuokella_multacida
NA,s__Fusobacterium_mortiferum
NA,s__Hungatella_effluvii
Blautia_wexlerae,s__Blautia_wexlerae
Anaerostipes_hadrus,s__Anaerostipes_hadrus
Ruminococcus_lactaris,s__Ruminococcus_lactaris
Roseburia_faecis,s__Roseburia_faecis
Blautia_obeum,s__Blautia_obeum
Ruminococcus_bicirculans,s__Ruminococcus_bicirculans
Ruminococcus_gnavus_CAG:126,s__Ruminococcus_gnavus
NA,s__Lactobacillus_mucosae
Escherichia_coli,s__Escherichia_coli
Faecalibacterium_prausnitzii,s__Faecalibacterium_prausnitzii
NA,s__Eubacterium_ramulus
Clostridiales_bacterium_KLE1615,s__Clostridiales_bacterium_KLE1615
NA,s__Klebsiella_oxytoca
NA,s__Eubacterium_siraeum
Roseburia_hominis,s__Roseburia_hominis
Roseburia_intestinalis_CAG:13,s__Roseburia_intestinalis
Klebsiella_pneumoniae,s__Klebsiella_pneumoniae
Tyzzerella_nexilis,s__Tyzzerella_nexilis
Streptococcus_salivarius,s__Streptococcus_salivarius
